City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Leshan,CN,2022-03-08 20:40:00,29.5623,103.7639,60.85,69,0,1.77
210,Manokwari,ID,2022-03-08 20:35:44,-0.8667,134.0833,76.19,84,100,3.62
211,Saint-Pierre,RE,2022-03-08 20:40:02,-21.3393,55.4781,78.48,82,0,4.61
212,Mehamn,NO,2022-03-08 20:40:03,71.0357,27.8492,35.78,75,40,19.57
213,Khandyga,RU,2022-03-08 20:40:04,62.6667,135.6,-26.95,100,56,1.48
214,Kodiak,US,2022-03-08 20:40:05,57.79,-152.4072,40.51,93,100,10.36
215,Vallenar,CL,2022-03-08 20:36:24,-28.5708,-70.7581,80.6,41,0,8.88
216,Codrington,AU,2022-03-08 20:40:06,-38.2667,141.9667,59.76,82,89,14.43
217,Belle Glade,US,2022-03-08 20:40:07,26.6845,-80.6676,87.03,50,33,12.66
218,Acapulco,MX,2022-03-08 20:35:47,16.8634,-99.8901,84.02,65,0,9.22
219,Victoria,HK,2022-03-08 20:37:51,22.2855,114.1577,61.32,71,2,13.0
220,Bambous Virieux,MU,2022-03-08 20:40:08,-20.3428,57.7575,77.25,88,40,2.3
221,Camacha,PT,2022-03-08 20:40:08,33.0833,-16.3333,56.62,63,20,4.61
222,Saldanha,ZA,2022-03-08 20:37:26,-33.0117,17.9442,71.65,87,0,8.12
223,Ahipara,NZ,2022-03-08 20:40:09,-35.1667,173.1667,71.56,61,29,8.86
224,Tomari,RU,2022-03-08 20:40:10,47.7658,142.0683,22.82,84,21,10.76
225,Berlevag,NO,2022-03-08 20:40:10,70.8578,29.0864,35.6,80,75,18.41
226,San Francisco,US,2022-03-08 20:36:09,37.7749,-122.4194,75.11,32,20,8.01
227,Caravelas,BR,2022-03-08 20:40:11,-17.7125,-39.2481,78.15,75,0,5.79
228,Teahupoo,PF,2022-03-08 20:40:12,-17.8333,-149.2667,78.53,75,64,12.66
229,Tilichiki,RU,2022-03-08 20:40:12,60.4667,166.1,17.91,90,100,5.46
230,Comodoro Rivadavia,AR,2022-03-08 20:40:48,-45.8667,-67.5,60.66,59,75,24.16
231,Mizque,BO,2022-03-08 20:41:13,-17.941,-65.3402,69.12,68,100,8.34
232,Nome,US,2022-03-08 20:41:14,64.5011,-165.4064,26.67,80,75,5.75
233,Mikhaylovka,RU,2022-03-08 20:41:15,50.06,43.2379,27.79,97,100,7.72
234,Grand Island,US,2022-03-08 20:41:15,40.925,-98.342,48.24,28,0,11.5
235,Bratsk,RU,2022-03-08 20:41:16,56.1325,101.6142,28.89,78,100,21.12
236,Lindenberg,DE,2022-03-08 20:41:16,49.3803,8.0986,38.12,59,0,3.85
237,Beckley,US,2022-03-08 20:41:17,37.7782,-81.1882,54.7,61,0,3.44
238,Jizan,SA,2022-03-08 20:41:17,17.3333,42.6667,77.94,63,4,2.93
239,Huarmey,PE,2022-03-08 20:41:18,-10.0681,-78.1522,78.13,69,37,8.9
240,Verkhnevilyuysk,RU,2022-03-08 20:41:18,63.4453,120.3167,-21.51,100,100,2.24
241,Thompson,CA,2022-03-08 20:41:19,55.7435,-97.8558,3.36,60,100,16.11
242,Serenje,ZM,2022-03-08 20:41:19,-13.2325,30.2352,62.98,99,100,5.44
243,Pacific Grove,US,2022-03-08 20:41:05,36.6177,-121.9166,74.61,47,0,5.75
244,Hovd,MN,2022-03-08 20:41:20,48.0056,91.6419,14.58,66,2,9.89
245,Auki,SB,2022-03-08 20:41:21,-8.7676,160.7034,79.34,85,100,5.23
246,Tuatapere,NZ,2022-03-08 20:41:21,-46.1333,167.6833,54.82,91,100,3.87
247,Kawalu,ID,2022-03-08 20:41:21,-7.3817,108.2082,72.37,94,79,1.39
248,Banepa,NP,2022-03-08 20:41:22,27.6298,85.5214,55.72,72,20,3.44
249,Ishinomaki,JP,2022-03-08 20:41:23,38.4167,141.3,30.2,74,97,5.08
250,The Valley,AI,2022-03-08 20:41:23,18.217,-63.0578,80.46,88,75,14.97
251,Rudbar,AF,2022-03-08 20:37:20,30.15,62.6,71.31,36,81,10.13
252,Lavrentiya,RU,2022-03-08 20:41:24,65.5833,-171.0,7.02,84,2,5.44
253,Etchoropo,MX,2022-03-08 20:41:24,26.7667,-109.6667,73.04,26,0,21.56
254,Karratha,AU,2022-03-08 20:41:25,-20.7377,116.8463,85.51,54,0,4.14
255,Lorengau,PG,2022-03-08 20:41:25,-2.0226,147.2712,80.24,77,100,2.28
256,Kamenka,RU,2022-03-08 20:41:26,51.3223,42.7678,18.75,97,99,4.56
257,Sitka,US,2022-03-08 20:40:08,57.0531,-135.33,40.89,45,20,5.75
258,Khatanga,RU,2022-03-08 20:41:26,71.9667,102.5,-6.52,82,100,12.82
259,Issia,CI,2022-03-08 20:41:27,6.4922,-6.5856,79.45,74,77,2.89
260,Esperance,AU,2022-03-08 20:41:28,-33.8667,121.9,58.84,86,99,12.3
261,Nanortalik,GL,2022-03-08 20:37:07,60.1432,-45.2371,16.23,72,5,8.28
262,Hereford,GB,2022-03-08 20:41:29,52.0568,-2.7148,49.01,84,96,1.01
263,Sakakah,SA,2022-03-08 20:41:29,29.9697,40.2064,69.37,28,99,9.62
264,Veraval,IN,2022-03-08 20:37:04,20.9,70.3667,75.16,64,0,11.25
265,Cabedelo,BR,2022-03-08 20:41:30,-6.9811,-34.8339,84.87,70,30,11.05
266,Ichinoseki,JP,2022-03-08 20:41:31,38.9167,141.1333,32.05,79,91,2.15
267,Yar-Sale,RU,2022-03-08 20:41:32,66.8333,70.8333,-19.19,96,49,11.21
268,Ixtapa,MX,2022-03-08 20:41:32,20.7,-105.2,74.43,64,40,16.11
269,Kahului,US,2022-03-08 20:41:33,20.8947,-156.47,80.96,68,20,9.22
270,Sorland,NO,2022-03-08 20:41:33,67.667,12.6934,35.67,88,74,19.53
271,Aquiraz,BR,2022-03-08 20:41:34,-3.9014,-38.3911,84.29,78,59,10.0
272,Paoua,CF,2022-03-08 20:41:35,7.2427,16.4406,83.14,25,100,1.41
273,Chicama,PE,2022-03-08 20:42:35,-7.8447,-79.1469,73.94,54,98,11.05
274,Wenling,CN,2022-03-08 20:42:36,28.3669,121.36,43.92,74,0,3.06
275,Waipawa,NZ,2022-03-08 20:42:36,-41.4122,175.5153,66.94,67,0,2.82
276,Petropavlovsk-Kamchatskiy,RU,2022-03-08 20:42:36,53.0452,158.6483,21.79,100,0,2.24
277,Sal Rei,CV,2022-03-08 20:42:37,16.1833,-22.9167,68.56,74,18,20.65
278,Southbridge,US,2022-03-08 20:42:38,42.0751,-72.0334,43.97,38,18,5.01
279,Ancud,CL,2022-03-08 20:42:38,-41.8697,-73.8203,58.42,62,5,18.9
280,Itarema,BR,2022-03-08 20:42:39,-2.9248,-39.9167,79.86,78,62,11.81
281,Surab,PK,2022-03-08 20:42:39,28.4914,66.2585,52.97,61,90,8.25
282,Muli,MV,2022-03-08 20:42:39,2.9167,73.5667,81.88,71,85,8.79
283,Belmonte,BR,2022-03-08 20:42:40,-15.8631,-38.8828,81.1,75,18,9.62
284,Nizhniy Kuranakh,RU,2022-03-08 20:42:40,58.8353,125.4869,-7.22,100,100,0.76
285,Lewistown,US,2022-03-08 20:42:41,40.5992,-77.5714,45.99,71,0,10.36
286,Loei,TH,2022-03-08 20:42:42,17.4167,101.5,64.11,68,49,1.03
287,Hamilton,US,2022-03-08 20:40:20,39.1834,-84.5333,45.75,58,100,3.44
288,Sao Jose Da Coroa Grande,BR,2022-03-08 20:42:42,-8.8978,-35.1478,80.13,75,54,7.67
289,Ust-Omchug,RU,2022-03-08 20:42:43,61.15,149.6333,3.65,97,100,7.9
290,Rincon,US,2022-03-08 20:42:06,32.296,-81.2354,83.86,59,75,8.05
291,Uvarovo,RU,2022-03-08 20:42:44,51.9849,42.2615,17.28,95,100,5.99
292,Wuchang,CN,2022-03-08 20:39:14,44.9143,127.15,14.9,92,20,3.38
293,Bullhead City,US,2022-03-08 20:41:53,35.1478,-114.5683,66.85,15,11,8.99
