City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
302,Moron,AR,-34.6534,-58.6198,74.95,47,0,9.84,clear sky
303,Necochea,AR,-38.5473,-58.7368,63.07,54,13,17.83,few clouds
304,Salekhard,RU,66.53,66.6019,-11.38,100,99,3.67,overcast clouds
305,Inhambane,MZ,-23.865,35.3833,78.78,88,20,9.22,few clouds
306,Brae,GB,60.3964,-1.353,42.35,83,78,37.58,broken clouds
307,Ostrovnoy,RU,68.0531,39.5131,31.69,83,100,18.34,overcast clouds
308,Paamiut,GL,61.994,-49.6678,9.95,86,100,21.09,overcast clouds
309,Brasilia De Minas,BR,-16.2064,-44.4333,79.48,64,89,4.07,overcast clouds
310,Vao,NC,-22.6667,167.4833,79.25,74,29,11.32,scattered clouds
311,Pimentel,PE,-6.8367,-79.9342,84.49,51,0,13.8,clear sky
312,Tapel,PH,18.2891,122.0292,74.93,95,98,6.35,overcast clouds
313,Fort Abbas,PK,29.1925,72.8536,74.48,33,0,2.24,clear sky
314,Richards Bay,ZA,-28.783,32.0377,73.18,91,18,3.36,light rain
315,Ritchie,ZA,-29.038,24.6028,72.61,40,43,11.03,scattered clouds
316,Envira,BR,-7.3,-70.2167,82.15,86,56,1.61,broken clouds
317,Kawalu,ID,-7.3817,108.2082,72.72,96,100,1.14,overcast clouds
318,Pirgos,GR,35.1167,25.7178,43.63,65,51,18.1,broken clouds
319,Sakakah,SA,29.9697,40.2064,54.97,45,0,14.12,clear sky
320,Eisiskes,LT,54.1667,25.0,28.15,56,100,5.1,overcast clouds
321,Dhidhdhoo,MV,6.8833,73.1,82.49,68,1,2.37,clear sky
322,Finschhafen,PG,-6.6024,147.8681,80.15,81,98,6.82,overcast clouds
323,Gander,CA,48.9682,-54.5906,32.16,37,75,23.02,broken clouds
324,Hobyo,SO,5.3505,48.5268,78.03,68,99,13.18,overcast clouds
325,Severnyy,RU,50.677,36.5532,12.24,57,0,6.71,clear sky
326,Kano,NG,12.0001,8.5167,83.75,17,78,8.75,broken clouds
327,Belmonte,BR,-15.8631,-38.8828,81.64,71,12,7.63,few clouds
328,Westfield,US,42.1251,-72.7495,55.13,46,40,12.66,scattered clouds
329,Tilichiki,RU,60.4667,166.1,6.15,85,100,6.46,overcast clouds
330,Bastia,FR,42.6667,9.3333,51.3,78,0,3.44,clear sky
331,Saint-Pierre,RE,-21.3393,55.4781,78.48,78,0,13.8,clear sky
332,Cavalcante,BR,-13.7975,-47.4583,79.05,71,100,3.36,overcast clouds
333,South Lake Tahoe,US,38.9332,-119.9844,48.87,31,0,6.91,clear sky
334,Maxixe,MZ,-23.8597,35.3472,78.62,88,20,9.22,few clouds
335,Lagdo,CM,9.05,13.7333,87.96,14,94,6.71,overcast clouds
336,Sinop,TR,41.7711,34.8709,20.08,93,99,5.1,light snow
337,Popondetta,PG,-8.7537,148.2534,74.16,85,100,2.48,overcast clouds
